Departure City,Arrival City,Flight Number,Departure Date,Arrival Date,Departure Time,Arrival Time,Passenger Name,Email,Phone Number,Ticket Price,Seat Number,Baggage Allowance,Booking Date,Flight Duration,Airline
Las Vegas,New Orleans,FL322,12/20/2024,12/20/2024,5:00 AM,7:00 AM,Admin,admin@gmail.com,(717) 777-7777,330.85,19F,50kg,12/14/2024,2,United Airlines
San Diego,Jacksonville,FL532,1/8/2025,1/8/2025,9:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,997.23,4C,40kg,12/14/2024,1,Delta Airlines
San Francisco,Fort Worth,FL553,12/16/2024,12/16/2024,1:00 PM,4:00 PM,Admin,admin@gmail.com,(717) 777-7777,1378.32,13F,13kg,12/14/2024,3,American Airlines
Portland,Fresno,FL211,12/30/2024,12/30/2024,12:00 PM,5:00 PM,Admin,admin@gmail.com,(717) 777-7777,865.9,10F,48kg,12/14/2024,5,American Airlines
Indianapolis,Charlotte,FL120,1/5/2025,1/5/2025,10:00 AM,3:00 PM,Admin,admin@gmail.com,(717) 777-7777,880.75,16E,47kg,12/14/2024,5,Spirit Airlines
Detroit,Dallas,FL996,12/31/2024,12/31/2024,12:00 PM,3:00 PM,Admin,admin@gmail.com,(717) 777-7777,757.45,30D,16kg,12/14/2024,3,Delta Airlines
Tucson,Raleigh,FL871,12/30/2024,12/31/2024,6:00 PM,12:00 AM,Admin,admin@gmail.com,(717) 777-7777,921.73,6D,37kg,12/14/2024,6,Islamarsha Airlines
Denver,Omaha,FL820,12/28/2024,12/29/2024,8:00 PM,2:00 AM,Admin,admin@gmail.com,(717) 777-7777,307.08,18A,33kg,12/14/2024,6,American Airlines
Nashville,Albuquerque,FL822,12/23/2024,12/23/2024,8:00 AM,12:00 PM,Admin,admin@gmail.com,(717) 777-7777,299.4,20B,23kg,12/14/2024,4,Delta Airlines
Boston,Las Vegas,FL776,12/24/2024,12/24/2024,6:00 PM,8:00 PM,Admin,admin@gmail.com,(717) 777-7777,533.1,1E,43kg,12/14/2024,2,Islamarsha Airlines
San Francisco,Philadelphia,FL766,1/6/2025,1/6/2025,12:00 AM,1:00 AM,Admin,admin@gmail.com,(717) 777-7777,396.03,25C,33kg,12/14/2024,1,Islamarsha Airlines
Miami,Austin,FL307,12/22/2024,12/22/2024,2:00 PM,3:00 PM,Admin,admin@gmail.com,(717) 777-7777,790.55,12F,36kg,12/14/2024,1,Islamarsha Airlines
Boston,Atlanta,FL243,12/23/2024,12/24/2024,10:00 PM,3:00 AM,Admin,admin@gmail.com,(717) 777-7777,485.26,15A,49kg,12/14/2024,5,American Airlines
Las Vegas,Arlington,FL614,1/13/2025,1/13/2025,12:00 AM,6:00 AM,Admin,admin@gmail.com,(717) 777-7777,173.92,21D,46kg,12/14/2024,6,United Airlines
Oakland,Philadelphia,FL231,12/18/2024,12/18/2024,4:00 AM,5:00 AM,Admin,admin@gmail.com,(717) 777-7777,1158.62,1E,31kg,12/14/2024,1,Spirit Airlines
Indianapolis,Charlotte,FL267,1/13/2025,1/13/2025,7:00 AM,10:00 AM,Admin,admin@gmail.com,(717) 777-7777,1496.21,11D,47kg,12/14/2024,3,Spirit Airlines
Las Vegas,Miami,FL375,12/18/2024,12/18/2024,7:00 PM,9:00 PM,Admin,admin@gmail.com,(717) 777-7777,513.19,15B,30kg,12/14/2024,2,Islamarsha Airlines
Charlotte,Baltimore,FL251,1/5/2025,1/5/2025,4:00 AM,10:00 AM,Admin,admin@gmail.com,(717) 777-7777,1061.56,7F,44kg,12/14/2024,6,Islamarsha Airlines
San Francisco,Fort Worth,FL851,12/28/2024,12/28/2024,12:00 PM,1:00 PM,Admin,admin@gmail.com,(717) 777-7777,702.38,27C,23kg,12/14/2024,1,Spirit Airlines
Philadelphia,Milwaukee,FL615,12/25/2024,12/26/2024,11:00 PM,1:00 AM,Admin,admin@gmail.com,(717) 777-7777,184.14,13B,12kg,12/14/2024,2,Delta Airlines
Boston,Phoenix,FL645,12/31/2024,12/31/2024,5:00 PM,8:00 PM,Admin,admin@gmail.com,(717) 777-7777,766.23,15C,48kg,12/14/2024,3,United Airlines
Long Beach,Colorado Springs,FL563,1/9/2025,1/10/2025,7:00 PM,12:00 AM,Admin,admin@gmail.com,(717) 777-7777,667.49,16E,14kg,12/14/2024,5,American Airlines
Portland,Tucson,FL155,12/24/2024,12/24/2024,8:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,1330.99,14A,11kg,12/14/2024,2,Islamarsha Airlines
San Francisco,Milwaukee,FL470,1/4/2025,1/4/2025,12:00 PM,3:00 PM,Admin,admin@gmail.com,(717) 777-7777,470.33,5C,26kg,12/14/2024,3,United Airlines
Charlotte,San Antonio,FL702,12/29/2024,12/29/2024,3:00 AM,7:00 AM,Admin,admin@gmail.com,(717) 777-7777,656.33,19E,12kg,12/14/2024,4,Delta Airlines
Miami,Houston,FL963,12/21/2024,12/22/2024,9:00 PM,2:00 AM,Admin,admin@gmail.com,(717) 777-7777,1095.4,2F,15kg,12/14/2024,5,Spirit Airlines
Columbus,Arlington,FL245,1/3/2025,1/3/2025,1:00 AM,6:00 AM,Admin,admin@gmail.com,(717) 777-7777,869.92,15B,32kg,12/14/2024,5,Spirit Airlines
New York,Indianapolis,FL609,12/21/2024,12/22/2024,8:00 PM,2:00 AM,Admin,admin@gmail.com,(717) 777-7777,523.5,6D,50kg,12/14/2024,6,Spirit Airlines
Chicago,Albuquerque,FL863,1/9/2025,1/9/2025,7:00 AM,10:00 AM,Admin,admin@gmail.com,(717) 777-7777,380.95,28C,46kg,12/14/2024,3,Spirit Airlines
Philadelphia,Phoenix,FL698,1/1/2025,1/1/2025,11:00 AM,3:00 PM,Admin,admin@gmail.com,(717) 777-7777,144.03,20F,25kg,12/14/2024,4,Islamarsha Airlines
Raleigh,Columbus,FL957,1/2/2025,1/2/2025,3:00 AM,6:00 AM,Admin,admin@gmail.com,(717) 777-7777,411.01,25B,24kg,12/14/2024,3,United Airlines
San Diego,El Paso,FL324,1/13/2025,1/13/2025,12:00 AM,1:00 AM,Admin,admin@gmail.com,(717) 777-7777,324.07,25E,44kg,12/14/2024,1,American Airlines
Tulsa,Nashville,FL554,12/20/2024,12/20/2024,2:00 PM,6:00 PM,Admin,admin@gmail.com,(717) 777-7777,285.44,18A,43kg,12/14/2024,4,United Airlines
Portland,Las Vegas,FL641,1/5/2025,1/5/2025,12:00 PM,2:00 PM,Admin,admin@gmail.com,(717) 777-7777,1368.13,2B,12kg,12/14/2024,2,United Airlines
Phoenix,Omaha,FL468,12/15/2024,12/15/2024,11:00 AM,12:00 PM,Admin,admin@gmail.com,(717) 777-7777,797.98,27E,41kg,12/14/2024,1,Spirit Airlines
Minneapolis,Nashville,FL434,12/20/2024,12/20/2024,8:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,802.7,7D,48kg,12/14/2024,2,Delta Airlines
Virginia Beach,Miami,FL131,12/30/2024,12/30/2024,12:00 AM,2:00 AM,Admin,admin@gmail.com,(717) 777-7777,1316.02,28B,33kg,12/14/2024,2,American Airlines
Oklahoma City,El Paso,FL237,1/3/2025,1/3/2025,5:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,1088.54,9A,32kg,12/14/2024,5,American Airlines
Portland,Fresno,FL672,1/3/2025,1/3/2025,8:00 AM,1:00 PM,Admin,admin@gmail.com,(717) 777-7777,360.35,5D,41kg,12/14/2024,5,Spirit Airlines
Tucson,Houston,FL851,1/5/2025,1/6/2025,10:00 PM,1:00 AM,Admin,admin@gmail.com,(717) 777-7777,1026.12,29B,35kg,12/14/2024,3,United Airlines
Long Beach,Mesa,FL251,1/4/2025,1/4/2025,12:00 PM,3:00 PM,Admin,admin@gmail.com,(717) 777-7777,1279.38,17E,12kg,12/14/2024,3,Spirit Airlines
Long Beach,Oakland,FL354,1/4/2025,1/4/2025,11:00 AM,1:00 PM,Admin,admin@gmail.com,(717) 777-7777,602.04,11F,25kg,12/14/2024,2,Spirit Airlines
Boston,Atlanta,FL559,1/12/2025,1/12/2025,8:00 PM,11:00 PM,Admin,admin@gmail.com,(717) 777-7777,942.86,13B,31kg,12/14/2024,3,American Airlines
Arlington,Fresno,FL172,12/25/2024,12/25/2024,1:00 PM,7:00 PM,Admin,admin@gmail.com,(717) 777-7777,335.89,13D,27kg,12/14/2024,6,United Airlines
Los Angeles,Dallas,FL251,1/6/2025,1/6/2025,11:00 AM,3:00 PM,Admin,admin@gmail.com,(717) 777-7777,735.21,17B,15kg,12/14/2024,4,Delta Airlines
Chicago,El Paso,FL472,12/23/2024,12/24/2024,10:00 PM,2:00 AM,Admin,admin@gmail.com,(717) 777-7777,206.36,21A,22kg,12/14/2024,4,Delta Airlines
Oklahoma City,Las Vegas,FL413,12/20/2024,12/20/2024,3:00 AM,9:00 AM,Admin,admin@gmail.com,(717) 777-7777,973.12,16F,50kg,12/14/2024,6,Delta Airlines
Colorado Springs,Detroit,FL104,12/30/2024,12/30/2024,6:00 PM,11:00 PM,Admin,admin@gmail.com,(717) 777-7777,1229.36,1A,16kg,12/14/2024,5,United Airlines
Albuquerque,Baltimore,FL397,1/10/2025,1/10/2025,4:00 PM,6:00 PM,Admin,admin@gmail.com,(717) 777-7777,854.7,6D,34kg,12/14/2024,2,Spirit Airlines
Indianapolis,Houston,FL629,1/12/2025,1/13/2025,11:00 PM,12:00 AM,Admin,admin@gmail.com,(717) 777-7777,594.92,14A,50kg,12/14/2024,1,Spirit Airlines
Tulsa,Washington,FL322,12/18/2024,12/18/2024,9:00 AM,12:00 PM,Admin,admin@gmail.com,(717) 777-7777,769.25,21D,49kg,12/14/2024,3,Islamarsha Airlines
New Orleans,Chicago,FL190,12/16/2024,12/16/2024,3:00 PM,6:00 PM,Admin,admin@gmail.com,(717) 777-7777,1075.92,3B,47kg,12/14/2024,3,United Airlines
Denver,Nashville,FL307,1/9/2025,1/9/2025,7:00 AM,1:00 PM,Admin,admin@gmail.com,(717) 777-7777,577.62,26D,37kg,12/14/2024,6,United Airlines
Arlington,Long Beach,FL519,1/1/2025,1/1/2025,12:00 AM,1:00 AM,Admin,admin@gmail.com,(717) 777-7777,823.39,18B,46kg,12/14/2024,1,Spirit Airlines
Fresno,Washington,FL855,12/21/2024,12/21/2024,1:00 AM,2:00 AM,Admin,admin@gmail.com,(717) 777-7777,953.69,25C,45kg,12/14/2024,1,American Airlines
Las Vegas,Indianapolis,FL618,12/28/2024,12/28/2024,9:00 AM,12:00 PM,Admin,admin@gmail.com,(717) 777-7777,910.84,2F,39kg,12/14/2024,3,Delta Airlines
Nashville,Washington,FL677,1/2/2025,1/2/2025,11:00 AM,1:00 PM,Admin,admin@gmail.com,(717) 777-7777,1434.35,26D,47kg,12/14/2024,2,Delta Airlines
Fort Worth,Austin,FL533,12/18/2024,12/18/2024,6:00 AM,8:00 AM,Admin,admin@gmail.com,(717) 777-7777,1367.95,2C,34kg,12/14/2024,2,Islamarsha Airlines
Charlotte,San Jose,FL699,1/4/2025,1/4/2025,8:00 AM,2:00 PM,Admin,admin@gmail.com,(717) 777-7777,868.85,29C,31kg,12/14/2024,6,Delta Airlines
Memphis,Austin,FL760,12/23/2024,12/23/2024,4:00 AM,6:00 AM,Admin,admin@gmail.com,(717) 777-7777,1357.31,27C,27kg,12/14/2024,2,Delta Airlines
New Orleans,Austin,FL208,1/4/2025,1/4/2025,8:00 PM,11:00 PM,Admin,admin@gmail.com,(717) 777-7777,617.63,23B,19kg,12/14/2024,3,United Airlines
Kansas City,San Antonio,FL837,1/5/2025,1/5/2025,6:00 AM,7:00 AM,Admin,admin@gmail.com,(717) 777-7777,919.25,16F,33kg,12/14/2024,1,Islamarsha Airlines
Colorado Springs,Indianapolis,FL198,1/7/2025,1/7/2025,1:00 AM,2:00 AM,Admin,admin@gmail.com,(717) 777-7777,1341.63,5B,48kg,12/14/2024,1,Islamarsha Airlines
Houston,Seattle,FL194,12/28/2024,12/28/2024,6:00 AM,9:00 AM,Admin,admin@gmail.com,(717) 777-7777,215.72,24C,16kg,12/14/2024,3,United Airlines
Tucson,Atlanta,FL721,12/26/2024,12/26/2024,8:00 AM,11:00 AM,Admin,admin@gmail.com,(717) 777-7777,173.07,29A,44kg,12/14/2024,3,Spirit Airlines
San Antonio,New York,FL558,12/30/2024,12/30/2024,3:00 AM,5:00 AM,Admin,admin@gmail.com,(717) 777-7777,190.9,20A,30kg,12/14/2024,2,Spirit Airlines
Minneapolis,Washington,FL537,12/27/2024,12/27/2024,3:00 PM,8:00 PM,Admin,admin@gmail.com,(717) 777-7777,1055.75,17B,29kg,12/14/2024,5,Islamarsha Airlines
Washington,Tucson,FL136,1/11/2025,1/11/2025,3:00 AM,7:00 AM,Admin,admin@gmail.com,(717) 777-7777,202,18A,19kg,12/14/2024,4,American Airlines
Portland,Indianapolis,FL323,1/1/2025,1/1/2025,3:00 AM,6:00 AM,Admin,admin@gmail.com,(717) 777-7777,430.81,9C,26kg,12/14/2024,3,Islamarsha Airlines
Fort Worth,Tucson,FL842,12/19/2024,12/19/2024,8:00 AM,10:00 AM,Admin,admin@gmail.com,(717) 777-7777,249.59,12E,45kg,12/14/2024,2,Spirit Airlines
Houston,Fresno,FL772,12/17/2024,12/17/2024,7:00 AM,12:00 PM,Admin,admin@gmail.com,(717) 777-7777,981.17,27F,16kg,12/14/2024,5,Delta Airlines
Fort Worth,Miami,FL136,12/31/2024,12/31/2024,8:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,1100.21,30C,27kg,12/14/2024,2,Delta Airlines
Atlanta,Albuquerque,FL483,1/7/2025,1/7/2025,2:00 PM,6:00 PM,Admin,admin@gmail.com,(717) 777-7777,719.12,24A,24kg,12/14/2024,4,Delta Airlines
Arlington,Chicago,FL863,12/19/2024,12/19/2024,3:00 PM,8:00 PM,Admin,admin@gmail.com,(717) 777-7777,556.66,5C,28kg,12/14/2024,5,Delta Airlines
Raleigh,Fort Worth,FL222,1/11/2025,1/12/2025,11:00 PM,12:00 AM,Admin,admin@gmail.com,(717) 777-7777,660.61,10B,31kg,12/14/2024,1,Islamarsha Airlines
Los Angeles,Detroit,FL123,1/13/2025,1/13/2025,8:00 AM,12:00 PM,Admin,admin@gmail.com,(717) 777-7777,611.81,15B,34kg,12/14/2024,4,Spirit Airlines
Mesa,San Diego,FL667,1/8/2025,1/8/2025,5:00 AM,9:00 AM,Admin,admin@gmail.com,(717) 777-7777,801.58,24D,21kg,12/14/2024,4,American Airlines
Oklahoma City,Atlanta,FL322,12/16/2024,12/16/2024,7:00 PM,11:00 PM,Admin,admin@gmail.com,(717) 777-7777,608.42,4A,38kg,12/14/2024,4,Spirit Airlines
New Orleans,Oakland,FL291,12/26/2024,12/26/2024,1:00 PM,2:00 PM,Admin,admin@gmail.com,(717) 777-7777,771.61,2F,14kg,12/14/2024,1,Islamarsha Airlines
Minneapolis,Phoenix,FL366,1/2/2025,1/2/2025,7:00 AM,8:00 AM,Admin,admin@gmail.com,(717) 777-7777,229.62,23D,23kg,12/14/2024,1,Islamarsha Airlines
Seattle,Albuquerque,FL824,12/26/2024,12/26/2024,1:00 PM,5:00 PM,Admin,admin@gmail.com,(717) 777-7777,108.23,8D,45kg,12/14/2024,4,United Airlines
Indianapolis,Fort Worth,FL254,1/5/2025,1/5/2025,9:00 AM,10:00 AM,Admin,admin@gmail.com,(717) 777-7777,218.53,9C,27kg,12/14/2024,1,Islamarsha Airlines
Arlington,New Orleans,FL218,12/29/2024,12/29/2024,12:00 AM,5:00 AM,Admin,admin@gmail.com,(717) 777-7777,618.35,12E,30kg,12/14/2024,5,American Airlines
Tulsa,Oklahoma City,FL532,1/11/2025,1/11/2025,5:00 AM,8:00 AM,Admin,admin@gmail.com,(717) 777-7777,532.04,11B,17kg,12/14/2024,3,United Airlines
Portland,Arlington,FL991,12/16/2024,12/16/2024,7:00 AM,1:00 PM,Admin,admin@gmail.com,(717) 777-7777,387.59,29C,31kg,12/14/2024,6,Spirit Airlines
Portland,Virginia Beach,FL441,12/18/2024,12/18/2024,1:00 PM,5:00 PM,Admin,admin@gmail.com,(717) 777-7777,202.61,30F,43kg,12/14/2024,4,United Airlines
Minneapolis,San Jose,FL935,1/4/2025,1/4/2025,3:00 PM,9:00 PM,Admin,admin@gmail.com,(717) 777-7777,971.49,1E,42kg,12/14/2024,6,Islamarsha Airlines
Detroit,Miami,FL444,1/9/2025,1/10/2025,10:00 PM,1:00 AM,Admin,admin@gmail.com,(717) 777-7777,1163.04,19E,45kg,12/14/2024,3,Islamarsha Airlines
Indianapolis,Los Angeles,FL292,12/15/2024,12/16/2024,9:00 PM,3:00 AM,Admin,admin@gmail.com,(717) 777-7777,608.17,15B,40kg,12/14/2024,6,Delta Airlines
Minneapolis,Baltimore,FL407,12/29/2024,12/29/2024,3:00 AM,6:00 AM,Admin,admin@gmail.com,(717) 777-7777,408.87,7C,40kg,12/14/2024,3,Spirit Airlines
San Antonio,San Antonio,FL524,1/7/2025,1/7/2025,7:00 AM,9:00 AM,Admin,admin@gmail.com,(717) 777-7777,214.48,19B,36kg,12/14/2024,2,United Airlines
Columbus,San Diego,FL758,1/8/2025,1/8/2025,8:00 PM,9:00 PM,Admin,admin@gmail.com,(717) 777-7777,772.35,11F,39kg,12/14/2024,1,American Airlines
San Diego,Long Beach,FL102,12/18/2024,12/18/2024,6:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,423.7,2F,24kg,12/14/2024,4,American Airlines
Atlanta,San Diego,FL505,12/20/2024,12/20/2024,12:00 AM,3:00 AM,Admin,admin@gmail.com,(717) 777-7777,727.44,28B,43kg,12/14/2024,3,Islamarsha Airlines
Phoenix,Colorado Springs,FL937,12/15/2024,12/15/2024,8:00 AM,2:00 PM,Admin,admin@gmail.com,(717) 777-7777,233.21,23E,18kg,12/14/2024,6,United Airlines
Atlanta,New York,FL671,1/3/2025,1/4/2025,10:00 PM,4:00 AM,Admin,admin@gmail.com,(717) 777-7777,1222.89,25F,38kg,12/14/2024,6,American Airlines
Phoenix,Portland,FL540,1/6/2025,1/6/2025,10:00 AM,2:00 PM,Admin,admin@gmail.com,(717) 777-7777,1330.34,22F,23kg,12/14/2024,4,Islamarsha Airlines
Tucson,Oakland,FL346,1/13/2025,1/13/2025,4:00 AM,9:00 AM,Admin,admin@gmail.com,(717) 777-7777,197.58,3C,20kg,12/14/2024,5,Delta Airlines
Memphis,Oklahoma City,FL660,12/26/2024,12/26/2024,12:00 AM,3:00 AM,Admin,admin@gmail.com,(717) 777-7777,1184.4,14A,42kg,12/14/2024,3,Islamarsha Airlines
Tucson,Detroit,FL560,1/11/2025,1/11/2025,9:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,626.6,12C,31kg,12/14/2024,1,Spirit Airlines
Fort Worth,San Diego,FL599,12/17/2024,12/17/2024,7:00 PM,11:00 PM,Admin,admin@gmail.com,(717) 777-7777,705.55,20E,42kg,12/14/2024,4,Delta Airlines
Charlotte,Austin,FL629,1/12/2025,1/12/2025,8:00 AM,11:00 AM,Admin,admin@gmail.com,(717) 777-7777,894.22,30F,11kg,12/14/2024,3,American Airlines
San Antonio,San Antonio,FL727,12/18/2024,12/18/2024,6:00 AM,11:00 AM,Admin,admin@gmail.com,(717) 777-7777,573.57,10A,34kg,12/14/2024,5,United Airlines
Phoenix,Phoenix,FL518,1/11/2025,1/11/2025,10:00 AM,4:00 PM,Admin,admin@gmail.com,(717) 777-7777,328.18,10E,30kg,12/14/2024,6,American Airlines
Boston,Los Angeles,FL636,12/22/2024,12/22/2024,3:00 PM,5:00 PM,Admin,admin@gmail.com,(717) 777-7777,598.79,24D,35kg,12/14/2024,2,American Airlines
Chicago,Colorado Springs,FL358,12/27/2024,12/28/2024,11:00 PM,2:00 AM,Admin,admin@gmail.com,(717) 777-7777,632.63,30C,30kg,12/14/2024,3,Spirit Airlines
Washington,Memphis,FL694,1/2/2025,1/2/2025,6:00 PM,11:00 PM,Admin,admin@gmail.com,(717) 777-7777,168.19,9F,16kg,12/14/2024,5,American Airlines
Albuquerque,Minneapolis,FL143,1/8/2025,1/8/2025,3:00 PM,9:00 PM,Admin,admin@gmail.com,(717) 777-7777,290.45,5E,20kg,12/14/2024,6,United Airlines
Austin,Detroit,FL469,12/27/2024,12/27/2024,4:00 PM,9:00 PM,Admin,admin@gmail.com,(717) 777-7777,1203.29,10C,47kg,12/14/2024,5,American Airlines
New York,Los Angeles,FL998,12/26/2024,12/26/2024,7:00 AM,8:00 AM,Admin,admin@gmail.com,(717) 777-7777,327.71,11F,47kg,12/14/2024,1,United Airlines
Milwaukee,Colorado Springs,FL822,12/21/2024,12/21/2024,3:00 PM,9:00 PM,Admin,admin@gmail.com,(717) 777-7777,1114.49,18F,25kg,12/14/2024,6,Spirit Airlines
San Antonio,Chicago,FL179,1/11/2025,1/11/2025,9:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,1374.33,3A,15kg,12/14/2024,1,Spirit Airlines
Dallas,Memphis,FL470,12/31/2024,12/31/2024,2:00 AM,8:00 AM,Admin,admin@gmail.com,(717) 777-7777,1041.27,4D,39kg,12/14/2024,6,Delta Airlines
Boston,Raleigh,FL198,12/24/2024,12/24/2024,8:00 PM,10:00 PM,Admin,admin@gmail.com,(717) 777-7777,1005.44,12D,24kg,12/14/2024,2,United Airlines
Arlington,Denver,FL480,12/17/2024,12/17/2024,1:00 PM,7:00 PM,Admin,admin@gmail.com,(717) 777-7777,127.35,13D,26kg,12/14/2024,6,American Airlines
Chicago,Albuquerque,FL529,12/27/2024,12/27/2024,8:00 AM,12:00 PM,Admin,admin@gmail.com,(717) 777-7777,180.13,11B,30kg,12/14/2024,4,United Airlines
